,origin_x,origin_y,destination_x,destination_y,treq,index,hub,ttrav,tarr,u,ttrav_sh,tarr_sh,u_sh,u_PT_OD,u_PT_HD_ASC,u_SUM_OD,p_SUM,r
0,19.88443483,50.08415619,19.8854688,50.09741493,2024-03-28 07:59:21,0,1786358199,46,2024-03-28 08:00:07,0.575,46.0,2024-03-28 08:00:07,0.575,11.037077806892583,6.783268596436743,9.939046004566235,0.7498911430164784,1
6,19.88910789,50.09523702,19.95983851,50.01008606,2024-03-28 07:46:34,6,1786358199,283,2024-03-28 07:51:17,3.5435,283.0,2024-03-28 07:51:17,3.5302500000000006,21.63747679816728,15.55389570169424,21.664923109823732,0.49313885278900943,1
9,19.872702,50.100578,19.91613343,50.05549304,2024-03-28 07:50:36,9,1786358199,408,2024-03-28 07:57:24,5.103,422.0,2024-03-28 07:57:38,4.980675000000001,22.37892166659138,11.060417324526025,18.62186973265552,0.9771804104326678,1
14,19.8801439,50.08412397,19.94697601,50.05173996,2024-03-28 08:07:22,14,1786358199,281,2024-03-28 08:12:03,3.5200000000000005,296.0,2024-03-28 08:12:18,3.4192250000000004,12.072035657809613,9.348067631546328,15.348070039675822,0.036402564571532334,1
16,19.88218073,50.10341252,19.92219084,50.07299845,2024-03-28 08:11:38,16,1786358199,350,2024-03-28 08:17:28,4.375,364.0,2024-03-28 08:17:42,4.340000000000001,12.61313144733764,5.58387890348528,12.504656311614774,0.5270922232837912,1
20,19.872702,50.100578,19.91976951,50.06934156,2024-03-28 07:57:09,20,1786358199,297,2024-03-28 08:02:06,3.7184999999999997,311.0,2024-03-28 08:02:20,3.6902000000000004,15.285560350814857,5.682756491199412,11.953733899328903,0.9655046521920354,1
21,19.87753887,50.0984932,19.90970544,50.07170129,2024-03-28 07:53:11,21,1786358199,46,2024-03-28 07:53:57,0.575,46.0,2024-03-28 07:53:57,0.575,12.63814307012909,4.970580789446016,8.126358197575508,0.9891403792776255,1
25,19.87813756,50.08544486,20.04311828,50.07213185,2024-03-28 08:11:52,25,1786358199,46,2024-03-28 08:12:38,0.575,46.0,2024-03-28 08:12:38,0.575,20.231114999872283,15.603755219212058,18.75953262734155,0.8132977797255526,1
31,19.88090001,50.09524373,19.90028017,50.07593398,2024-03-28 07:45:31,31,1786358199,297,2024-03-28 07:50:28,3.7199999999999998,312.0,2024-03-28 07:50:43,3.5822000000000003,9.129574605226574,3.611133640320025,9.774111048449516,0.34422179136593767,1
34,19.87455675,50.09771719,19.87645161,50.0802374,2024-03-28 07:52:04,34,1786358199,340,2024-03-28 07:57:44,4.256,354.0,2024-03-28 07:57:58,4.1909,9.632820920946632,4.805960964850081,11.577638372979575,0.12511956271710975,1
35,19.872702,50.100578,19.84656732,50.08497304,2024-03-28 08:09:05,35,1786358199,453,2024-03-28 08:16:38,5.6625,503.0,2024-03-28 08:17:28,5.586650000000001,15.073446447316128,5.849390701707684,14.016818109837175,0.7420456891584453,1
41,19.88928531,50.09340245,19.9297841,50.06302853,2024-03-28 08:11:58,41,1786358199,46,2024-03-28 08:12:44,0.575,46.0,2024-03-28 08:12:44,0.575,11.672100438545117,6.494970394704858,9.65074780283435,0.8830208021217832,1
42,19.88731694,50.09524252,19.93419539,50.07058545,2024-03-28 08:08:29,42,1786358199,337,2024-03-28 08:14:06,4.220000000000001,351.0,2024-03-28 08:14:20,4.059025,13.73232114028507,8.637287631518095,15.277090039647586,0.17584308621483022,1
45,19.87806364,50.08515395,19.94190176,50.0681672,2024-03-28 08:11:04,45,1786358199,198,2024-03-28 08:14:22,2.4825,198.0,2024-03-28 08:14:22,2.4825,13.474380613912889,8.044778596447498,13.10805600457699,0.590570576837592,1
46,19.88548271,50.09218852,19.89042816,50.01147754,2024-03-28 08:07:34,46,1786358199,202,2024-03-28 08:10:56,2.5265,217.0,2024-03-28 08:11:11,2.46115,25.310237324504516,21.328130175377176,26.370057583506668,0.2573438049338406,1
50,19.88635439,50.08439288,19.81365668,49.96773553,2024-03-28 08:11:33,50,1786358199,462,2024-03-28 08:19:15,5.7825,477.0,2024-03-28 08:19:30,5.548250000000001,36.37721912268389,27.877709035077316,36.00673644320681,0.5915756056606178,1
52,19.88368718,50.09333034,19.90092573,50.07244596,2024-03-28 08:10:52,52,1786358199,251,2024-03-28 08:15:03,3.1420000000000003,251.0,2024-03-28 08:15:03,2.9847,10.729742324508543,6.108941271882486,11.674418680011978,0.2799567091182353,1
