,origin_x,origin_y,destination_x,destination_y,treq,index,hub,ttrav,tarr,u,ttrav_sh,tarr_sh,u_sh,u_PT_OD,u_PT_HD_ASC,u_SUM_OD,p_SUM,r
2,19.88610817,50.01829796,19.9824546451532,50.01829105643053,2024-03-28 08:09:08,2,1989392511,356,2024-03-28 08:15:04,4.451499999999999,384.0,2024-03-28 08:15:32,4.377575,13.793519122678514,12.272954956097895,17.875283767722077,0.016597528898499345,1
8,19.86569399,50.01525589,19.941532571499973,50.04104459668561,2024-03-28 07:56:47,8,1989392511,284,2024-03-28 08:01:31,3.5515,284.0,2024-03-28 08:01:31,3.3427500000000006,15.67345701747614,7.019789912215955,12.943317320345447,0.938781866132537,1
9,19.87005994,50.01800453,19.9291635675951,50.042482897524046,2024-03-28 07:50:09,9,1989392511,159,2024-03-28 07:52:48,1.9949999999999999,159.0,2024-03-28 07:52:48,1.9949999999999999,14.3027282455708,6.749777982429746,11.325555390559238,0.9515321533035123,1
12,19.87366616,50.01471144,19.966280112814403,50.03784569637047,2024-03-28 08:12:54,12,1989392511,187,2024-03-28 08:16:01,2.3375,187.0,2024-03-28 08:16:01,2.3375,16.051108859595274,10.189229517478832,15.107506925608323,0.7198266567759909,1
17,19.87352252,50.01534407,19.925410714188555,50.032779224490085,2024-03-28 07:47:49,17,1989392511,150,2024-03-28 07:50:19,1.8765,150.0,2024-03-28 07:50:19,1.7819000000000003,10.067203596424642,4.842619342058631,9.205296750188122,0.703058895154266,1
18,19.88155664,50.01273775,19.885304696761647,50.0797397302983,2024-03-28 07:54:38,18,1989392511,250,2024-03-28 07:58:48,3.1295,250.0,2024-03-28 07:58:48,3.0275500000000006,22.706856184109196,16.328181359565697,21.93650876769519,0.6835960420912517,1
21,19.86172241,50.00668795,19.956659023107136,50.05414863642009,2024-03-28 08:12:07,21,1989392511,250,2024-03-28 08:16:17,3.1295,250.0,2024-03-28 08:16:17,3.0252750000000006,20.051781885917713,12.136648552584383,17.742700960713876,0.9096263300253283,1
22,19.86387949,50.01637105,19.90664300481499,50.03013095170665,2024-03-28 08:05:30,22,1989392511,327,2024-03-28 08:10:57,4.089,341.0,2024-03-28 08:11:11,3.9367250000000005,14.123007499930086,4.623892675382553,11.141395083512045,0.9517364902183075,1
23,19.86598351,50.00918514,19.947557840848475,50.03890114836852,2024-03-28 08:04:24,23,1989392511,379,2024-03-28 08:10:43,4.7405,379.0,2024-03-28 08:10:43,4.7405,21.095740964796306,10.370340438534363,17.691617846663856,0.9678331447248907,1
37,19.88379748,50.01625573,19.956685884485186,50.09473293199716,2024-03-28 07:47:12,37,1989392511,188,2024-03-28 07:50:20,2.356,188.0,2024-03-28 07:50:20,2.356,18.347983552534632,14.304318464879659,19.24109587300915,0.29046797155334936,1
41,19.88059402,50.01810162,19.956659023107136,50.05414863642009,2024-03-28 08:07:49,41,1989392511,187,2024-03-28 08:10:56,2.339,187.0,2024-03-28 08:10:56,2.339,17.043463508656732,12.136648552584383,17.056425960713874,0.4967594323603297,1
43,19.87075263,50.01295863,19.90664300481499,50.03013095170665,2024-03-28 07:53:38,43,1989392511,187,2024-03-28 07:56:45,2.339,187.0,2024-03-28 07:56:45,2.339,11.90731508762943,4.623892675382553,9.543670083512044,0.9140127116886231,1
45,19.87315157,50.01187346,19.929784097900736,50.06302852505976,2024-03-28 07:46:51,45,1989392511,284,2024-03-28 07:51:35,3.5515,284.0,2024-03-28 07:51:35,3.5515,17.744686228022054,10.16476754383085,16.29704495196034,0.8096351586216521,1
46,19.88424083,50.01410012,19.91846245445818,50.06230970437304,2024-03-28 08:00:24,46,1989392511,294,2024-03-28 08:05:18,3.678,294.0,2024-03-28 08:05:18,3.678,17.49849548234236,12.73080486837435,18.989582276503842,0.1837586615965294,1
50,19.87265394,50.0138409,19.900957039209576,50.0195528675999,2024-03-28 07:47:26,50,1989392511,187,2024-03-28 07:50:33,2.339,187.0,2024-03-28 07:50:33,2.2803500000000003,9.083764561350012,3.502504736790379,8.36363214491987,0.672636175401962,1
52,19.8852652,50.01567847,19.90989549802081,50.026607780825934,2024-03-28 08:02:55,52,1989392511,186,2024-03-28 08:06:01,2.3325,186.0,2024-03-28 08:06:01,2.3302750000000003,7.36723745604277,5.212220087625398,10.12327249575489,0.05974671731242518,1
54,19.87630369,50.01332137,20.00784095142636,50.01343538588094,2024-03-28 07:56:56,54,1989392511,250,2024-03-28 08:01:06,3.1295,265.0,2024-03-28 08:01:21,3.0867000000000004,20.65602592100041,14.396649736802479,20.064127144931973,0.6438006943989778,1
56,19.88105905,50.0142065,19.923458794539304,50.05679640240351,2024-03-28 07:53:30,56,1989392511,184,2024-03-28 07:56:34,2.3015,184.0,2024-03-28 07:56:34,2.3015,17.93419337713998,12.465872061389003,17.348149469518496,0.642456920471899,1
57,19.88242747,50.01327639,19.93413050269897,50.0344897415598,2024-03-28 08:05:08,57,1989392511,145,2024-03-28 08:07:33,1.8170000000000002,145.0,2024-03-28 08:07:33,1.8170000000000002,13.279839254306854,8.490846929763352,12.888624337892843,0.5965751314466226,1
60,19.88155664,50.01273775,19.952184584477106,50.02572924887218,2024-03-28 08:14:19,60,1989392511,272,2024-03-28 08:18:51,3.4045,272.0,2024-03-28 08:18:51,3.2951500000000005,20.91326460522523,12.43458978068173,18.31051718881122,0.931038189530066,1
61,19.88333897,50.01292177,19.896832819715183,50.02338990498389,2024-03-28 08:09:06,61,1989392511,168,2024-03-28 08:11:54,2.1,168.0,2024-03-28 08:11:54,2.0377,7.887672894695447,4.126385438565285,8.744862846694776,0.2979267793651038,1
63,19.88099035,50.02101412,19.900957039209576,50.0195528675999,2024-03-28 08:08:01,63,1989392511,75,2024-03-28 08:09:16,0.9450000000000001,75.0,2024-03-28 08:09:16,0.9450000000000001,9.4546226752871,3.502504736790379,7.028282144919871,0.9188139732138816,1
65,19.86411212,50.00672575,19.92604983564809,50.06390840504383,2024-03-28 08:09:37,65,1989392511,415,2024-03-28 08:16:32,5.1875,415.0,2024-03-28 08:16:32,5.1875,18.813319649108514,10.960090614027164,18.72836802215666,0.5212251435090176,1
66,19.87735784,50.01400512,20.05414499676122,50.09449827430591,2024-03-28 08:13:55,66,1989392511,356,2024-03-28 08:19:51,4.451499999999999,386.0,2024-03-28 08:20:21,4.3275250000000005,23.74038372799517,17.38928684202771,24.297589250157202,0.3641942941944448,1
67,19.87869551,50.0147851,19.9824546451532,50.01829105643053,2024-03-28 08:09:49,67,1989392511,284,2024-03-28 08:14:33,3.5515,299.0,2024-03-28 08:14:48,3.5179250000000004,18.191755570121025,12.272954956097895,18.371657364227385,0.4551454614091849,1
70,19.86145441,50.00667853,19.947557840848475,50.03890114836852,2024-03-28 08:00:49,70,1989392511,284,2024-03-28 08:05:33,3.5515,284.0,2024-03-28 08:05:33,3.4860750000000005,17.893644122739016,10.370340438534363,16.437192846663855,0.8109893065680917,1
72,19.8707553,50.01542543,19.896832819715183,50.02338990498389,2024-03-28 08:09:38,72,1989392511,300,2024-03-28 08:14:38,3.7575000000000003,300.0,2024-03-28 08:14:38,3.6060750000000006,10.274886666633057,4.126385438565285,10.313237846694777,0.4904133799662245,1
76,19.88155664,50.01273775,20.00060004147968,50.07053414204556,2024-03-28 08:07:38,76,1989392511,300,2024-03-28 08:12:38,3.7575000000000003,315.0,2024-03-28 08:12:53,3.7425750000000004,19.155073640268945,12.39201447361706,18.715366881746554,0.6081891549546524,1
81,19.88173646,50.01901989,19.896832819715183,50.02338990498389,2024-03-28 07:59:47,81,1989392511,145,2024-03-28 08:02:12,1.8170000000000002,145.0,2024-03-28 08:02:12,1.8170000000000002,9.131380701643147,4.126385438565285,8.524162846694777,0.6473058962692225,1
82,19.8634202,50.01664234,19.90664300481499,50.03013095170665,2024-03-28 07:49:09,82,1989392511,352,2024-03-28 07:55:01,4.403,369.0,2024-03-28 07:55:18,4.359075000000001,14.63569092097621,4.623892675382553,11.563745083512046,0.9557205908657637,1
85,19.88219409,50.01427071,19.971092603205765,50.06354811678362,2024-03-28 08:04:13,85,1989392511,63,2024-03-28 08:05:16,0.789,63.0,2024-03-28 08:05:16,0.789,19.014575131522122,12.04197548242168,15.41175289055117,0.9734759755552784,1
