FID,x,y,adr_pelny,ogolem
0,19.99660352,50.08650957,STANISŁAWA SKARŻYŃSKIEGO 9,975
1,20.01436898,50.08387626,OSIEDLE KOŚCIUSZKOWSKIE 6,955
2,19.99700522,50.08544636,STANISŁAWA SKARŻYŃSKIEGO 5,832
3,20.02146901,50.08696915,OSIEDLE KAZIMIERZOWSKIE 29,785
4,19.996731,50.08479196,STANISŁAWA SKARŻYŃSKIEGO 3,775
5,20.01100071,50.08849796,OSIEDLE JÓZEFA STRUSIA 7,752
6,20.02352769,50.08595178,OSIEDLE KAZIMIERZOWSKIE 18,749
7,20.00889955,50.08890681,OSIEDLE JÓZEFA STRUSIA 18,700
8,20.01293858,50.08824904,OSIEDLE JÓZEFA STRUSIA 6,695
9,20.02520436,50.0849009,OSIEDLE KAZIMIERZOWSKIE 7,675
10,19.88450925,50.07971708,NA BŁONIE 9A,653
11,20.02590975,50.0832581,OSIEDLE PRZY ARCE 5,631
12,20.0021664,50.08342777,OSIEDLE DYWIZJONU 303 11,629
13,20.02676051,50.08204782,OSIEDLE PRZY ARCE 2,618
14,19.96541428,50.09331559,POWSTAŃCÓW 26,610
15,19.96952492,50.01316523,ŁUŻYCKA 53,604
16,19.96997606,50.01358496,ŁUŻYCKA 51,589
17,20.01350324,50.10439331,OSIEDLE PIASTÓW 65,580
18,19.9902763,50.09212978,OSIEDLE OŚWIECENIA 44,574
19,19.99723458,50.08599309,STANISŁAWA SKARŻYŃSKIEGO 7,563
20,20.02426907,50.01665813,BARBARY 12,532
21,19.92634974,50.09422617,HENRYKA PACHOŃSKIEGO 6,514
22,20.01129884,50.07833341,OSIEDLE 2 PUŁKU LOTNICZEGO 3,512
23,19.97545513,50.07885003,JANUSZA MEISSNERA 6,506
24,20.0412566,50.07480192,OSIEDLE SZKLANE DOMY 1,502
25,19.97133427,50.08848437,DOBREGO PASTERZA 108,491
26,19.97112571,50.01172282,ŁUŻYCKA 63,486
27,20.04668331,50.07966161,OSIEDLE SZKOLNE 17,480
28,20.02350031,50.08094391,OSIEDLE NIEPODLEGŁOŚCI 6,477
29,19.99914908,50.01696031,KS. PIOTRA ŚCIEGIENNEGO 69,474
30,20.0024937,50.08306959,OSIEDLE DYWIZJONU 303 5,473
31,20.00923803,50.07544157,OSIEDLE 2 PUŁKU LOTNICZEGO 46,463
32,20.0040099,50.08487978,OSIEDLE DYWIZJONU 303 14,460
33,19.95937516,50.04922185,PRZEMYSŁOWA 4,447
34,20.00454231,50.07842481,OSIEDLE 2 PUŁKU LOTNICZEGO 26,445
35,20.0241591,50.01623141,BARBARY 14,444
36,19.99266892,50.02221572,SNYCERSKA 34,444
37,20.02174394,50.08136619,OSIEDLE NIEPODLEGŁOŚCI 5,442
38,20.02108307,50.00900385,MAŁA GÓRA 18,433
39,19.99950388,50.01624904,KS. PIOTRA ŚCIEGIENNEGO 73,432
40,20.00843059,50.09312672,OSIEDLE KOMBATANTÓW 10,428
41,20.02151975,50.00970901,MAŁA GÓRA 16,425
42,20.0172434,50.01080582,ALEKSANDRY 21,424
43,20.01755645,50.01008212,ALEKSANDRY 23,422
44,20.01441786,50.08213776,OSIEDLE KOŚCIUSZKOWSKIE 11,419
45,20.01398799,50.09838285,OSIEDLE PIASTÓW 41,419
46,19.88190584,50.07915789,NA BŁONIE 11,417
47,19.98362261,50.07608979,UGOREK 1,416
48,20.02839303,50.06649128,BP. FILIPA PADNIEWSKIEGO 22,415
49,19.91215726,50.02692721,KOBIERZYŃSKA 93,413
50,19.92607658,50.08714652,RUSZNIKARSKA 16,410
51,20.00860275,50.07688868,OSIEDLE 2 PUŁKU LOTNICZEGO 13,409
52,20.01782616,50.00933905,ALEKSANDRY 25,408
53,19.93152977,50.08344949,JÓZEFA WYBICKIEGO 3,406
54,19.91839626,50.05491695,BOLESŁAWA PRUSA 7,406
55,20.06370725,50.09820693,OSIEDLE NA WZGÓRZACH 17A,402
56,19.93338106,50.0948017,HENRYKA PACHOŃSKIEGO 18,398
57,20.00613722,50.07727761,OSIEDLE 2 PUŁKU LOTNICZEGO 16,395
58,20.01538904,50.08307079,OSIEDLE KOŚCIUSZKOWSKIE 9,395
59,20.00018745,50.0174009,KS. PIOTRA ŚCIEGIENNEGO 57,395
60,20.01107857,50.07743309,OSIEDLE 2 PUŁKU LOTNICZEGO 9,393
61,20.03808257,50.0842674,OSIEDLE KRAKOWIAKÓW 22A,391
62,19.92205224,50.06016765,ALEJA 3 MAJA 5,386
63,20.00718007,50.07825924,OSIEDLE 2 PUŁKU LOTNICZEGO 19,385
64,20.00710129,50.07552838,OSIEDLE 2 PUŁKU LOTNICZEGO 45,383
65,20.01486373,50.08261097,OSIEDLE KOŚCIUSZKOWSKIE 10,381
66,19.97199394,50.01124497,ŁUŻYCKA 65,381
67,19.99315768,50.03891298,ŁANOWA 41,369
68,20.02231895,50.08051539,OSIEDLE NIEPODLEGŁOŚCI 8,364
69,20.01078165,50.09530485,OSIEDLE BOHATERÓW WRZEŚNIA 1,362
70,19.99042679,50.09453781,OSIEDLE OŚWIECENIA 57,359
71,19.99400442,50.09175147,OSIEDLE OŚWIECENIA 10,355
72,19.98455755,50.07717035,UŁANÓW 21A,355
73,20.02335068,50.01354336,HELENY 10,354
